SKU;PRECIO
ATM- 10003-K;8008
ATM- 10004-8;7472
ATM- 10006-4;12696
ATM- 10007-2;11888
ATM- 10008-0;11832
ATM- 10009-9;56240
ATM- 10010-2;59700
ATM- 10012-9;7328
ATM- 10013-7;14080
ATM- 10014-5;5344
ATM- 10016-1;7328
ATM- 10018-8;6912
ATM- 10021-8;13200
ATM- 10023-4;5992
ATM- 10024-2;6808
ATM- 10026-9;5060
ATM- 10028-5;1990
ATM- 10030-7;6304
ATM- 10031-5;49700
ATM- 10033-1;84080
ATM- 10034-K;109500
ATM- 10035-8;57190
ATM- 10036-6;1600
ATM- 10037-4;44410
ATM- 10038-2;5760
ATM- 10039-0;2020
ATM- 10040-4;124070
ATM- 10041-2;51900
ATM- 10042-0;127270
ATM- 10043-9;117700
ATM- 10044-7;48700
ATM- 10045-5;42490
ATM- 10046-3;54850
ATM- 10047-1;48140
ATM- 10048-K;47820
ATM- 10049-8;49700
ATM- 10050-1;69500
ATM- 10051-K;372
ATM- 10052-8;22064
ATM- 10053-6;1008
ATM- 10055-2;1008
ATM- 10058-7;5312
ATM- 10059-5;10720
ATM- 10060-9;4320
ATM- 10062-5;1008
ATM- 10063-3;19824
ATM- 10064-1;1008
ATM- 10068-4;1160
ATM- 10069-2;4248
ATM- 10070-6;1160
ATM- 10071-4;1392
ATM- 10073-0;1392
ATM- 10074-9;1392
ATM- 10076-5;6224
ATM- 10077-3;14456
ATM- 10079-K;35232
ATM- 10086-2;1392
ATM- 10088-9;144520
ATM- 10089-7;87900
ATM- 10090-0;43680
ATM- 10091-9;65624
ATM- 10094-3;167200
ATM- 10096-K;10272
ATM- 10097-8;92660
ATM- 10099-4;4720
ATM- 10100-1;6360
ATM- 10101-K;2056
ATM- 10102-8;496
ATM- 10103-6;9016
ATM- 10104-4;12144
ATM- 10106-0;2768
ATM- 10107-9;12256
ATM- 10108-7;4600
ATM- 10110-9;10336
ATM- 10111-7;3776
ATM- 10112-5;2848
ATM- 10113-3;12640
ATM- 10114-1;4232
ATM- 10115-K;3960
ATM- 10116-8;3944
ATM- 10117-6;11344
ATM- 10118-4;14376
ATM- 10119-2;21400
ATM- 10121-4;9664
ATM- 10122-2;5840
ATM- 10123-0;15968
ATM- 10124-9;7240
ATM- 10125-7;9664
ATM- 10127-3;13808
ATM- 10128-1;33096
ATM- 10129-K;16072
ATM- 10130-3;10816
ATM- 10132-K;20736
ATM- 10133-8;10680
ATM- 10134-6;248
ATM- 10135-4;47808
ATM- 10136-2;25576
ATM- 10138-9;5592
ATM- 10139-7;14320
ATM- 10140-0;43784
ATM- 10141-9;6216
ATM- 10142-7;1560
ATM- 10143-5;8400
ATM- 10144-3;9200
ATM- 10145-1;9328
